date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:46	140/140	U-----	200	untouched ('OK')	text/plain	etag:%22d2-40430b0ccdd80-gzip%22	https://www.httrack.com/robots.txt		(from )
14:29:46	9184/9184	U--M-Z	200	updated ('OK')	text/html	etag:%223da6f684572198e6d3b13e0f43c30754%22	https://www.httrack.com/	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/index.html	(from )
14:29:47	3938/3938	U-----	200	untouched ('OK')	text/css	etag:%225eb03e2d-f62%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	C:/My%20Web%20Sites/CV%20ANTONIO/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.css	(from https://www.httrack.com/)
14:29:48	19802/19802	U-----	200	untouched ('')	application/javascript	etag:%225eb03e2d-4d5a%22	http://cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js	C:/My%20Web%20Sites/CV%20ANTONIO/cdnjs.cloudflare.com/ajax/libs/cookieconsent2/3.0.3/cookieconsent.min.js	(from https://www.httrack.com/)
14:29:50	7078/7078	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%221ba6-3a55b0a724580%22	https://www.httrack.com/favicon.ico	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/favicon.ico	(from https://www.httrack.com/)
14:29:50	3811/3811	U-----	200	untouched ('')	image/png	etag:%22ee3-4a5b156a08f00%22	https://www.httrack.com/images/bg_rings.png	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/images/bg_rings.png	(from https://www.httrack.com/)
14:29:51	828/828	U-----	200	untouched ('')	image/gif	etag:%2233c-3a55b0a724580%22	https://www.httrack.com/fade.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/fade.gif	(from https://www.httrack.com/)
14:29:53	1552/1552	U-----	200	untouched ('')	image/png	etag:%22610-4a5b1547b3e00%22	https://www.httrack.com/images/header_title_4.png	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/images/header_title_4.png	(from https://www.httrack.com/)
14:29:54	17072/17072	U--M-Z	200	updated ('OK')	text/html	etag:%224e5de58d55aa15ac61104da4369522e7%22	https://www.httrack.com/page/2/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/2/en/index.html	(from https://www.httrack.com/)
14:29:55	5902/5902	U--M-Z	200	updated ('OK')	text/html	etag:%22170e-4db6de3e20000-gzip%22	https://www.httrack.com/html/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/index.html	(from https://www.httrack.com/)
14:29:55	17085/17085	U--M-Z	200	updated ('OK')	text/html	etag:%225aec0155cc88a7562167d5fd9806f627%22	http://www.httrack.com/page/2/	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/2/index.html	(from https://www.httrack.com/)
14:29:55	10971/10971	U--M-Z	200	updated ('OK')	text/html	etag:%22f45cf4907fe5e6331f484bbb0edb8738%22	https://www.httrack.com/page/7/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/7/en/index.html	(from https://www.httrack.com/)
14:29:55	9371/9371	U--M-Z	200	updated ('OK')	text/html	etag:%2268797eaed5443b99f70c63659b0571b7%22	https://www.httrack.com/page/1/fr/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/1/fr/index.html	(from https://www.httrack.com/)
14:29:55	842/842	U-----	200	untouched ('')	image/png	etag:%2234a-44775c96dbac0%22	https://www.httrack.com/esp_chicklet.png	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/esp_chicklet.png	(from https://www.httrack.com/)
14:29:56	6046/6046	U-----	200	untouched ('')	image/jpeg	etag:%22179e-3a55b0dd805c0%22	https://www.httrack.com/images/screenshot_01.jpg	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/images/screenshot_01.jpg	(from https://www.httrack.com/)
14:29:56	9182/9182	U--M-Z	200	updated ('OK')	text/html	etag:%229c0cd03b4629a158319d139df94d20ec%22	https://www.httrack.com/page/1/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/1/en/index.html	(from https://www.httrack.com/page/2/en/index.html)
14:29:56	52811/52811	U--M-Z	200	updated ('OK')	text/html	etag:%22ce4b-4db6dde47ac80-gzip%22	https://www.httrack.com/html/faq.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/faq.html	(from https://www.httrack.com/)
14:29:56	123284/123284	U-----	200	untouched ('')	text/javascript	etag:13456283150077644836	https://pagead2.googlesyndication.com/pagead/show_ads.js	C:/My%20Web%20Sites/CV%20ANTONIO/pagead2.googlesyndication.com/pagead/f.txt	(from https://www.httrack.com/page/2/en/index.html)
14:29:56	9242/9242	U--M-Z	200	updated ('OK')	text/html	etag:%2223fa4b65ea384215647d90926acba5e6%22	https://www.httrack.com/page/20/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/20/en/index.html	(from https://www.httrack.com/)
14:29:56	17390/17390	U--M-Z	200	updated ('OK')	text/html	etag:%22f2462d4c7d2577f9f3ee6c03c47a2fa9%22	https://www.httrack.com/page/2/fr/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/2/fr/index.html	(from https://www.httrack.com/page/2/en/index.html)
14:29:57	37206/37206	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2002%20Jan%202023%2020:29:56%20GMT	https://www.httrack.com/src/	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/src/index.html	(from https://www.httrack.com/page/2/en/index.html)
14:29:57	2064/2064	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2002%20Jan%202023%2020:29:57%20GMT	https://www.httrack.com/html/fade.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/fade.gif	(from https://www.httrack.com/html/index.html)
14:29:57	42959/42959	U--M-Z	200	updated ('OK')	application/xml	date:Sat,%2020%20May%202017%2010:45:59%20+0200	https://www.httrack.com/httrack.xml	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/httrack.xml	(from https://www.httrack.com/page/2/en/index.html)
14:29:57	4243/4243	U-----	200	untouched ('')	image/gif	etag:%221093-3bd637ac0ce40%22	https://www.httrack.com/html/images/bg_rings.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/images/bg_rings.gif	(from https://www.httrack.com/html/index.html)
14:29:58	140/140	U-----	200	untouched ('OK')	text/plain	etag:%22d2-40430b0ccdd80-gzip%22	http://www.httrack.com/robots.txt		(from https://www.httrack.com/)
14:30:00	105313/105313	U--M-Z	200	updated ('OK')	text/html	etag:%2219b61-5ce89f03e2800-gzip%22	https://www.httrack.com/html/fcguide.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/fcguide.html	(from https://www.httrack.com/html/index.html)
14:30:01	5518/5518	U--M-Z	200	updated ('OK')	text/html	etag:%22158e-42700ec225980-gzip%22	https://www.httrack.com/html/overview.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/overview.html	(from https://www.httrack.com/html/index.html)
14:30:01	2000/2000	U-----	200	untouched ('')	image/gif	etag:%227d0-3bd637ac0ce40%22	https://www.httrack.com/html/images/header_title_4.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/images/header_title_4.gif	(from https://www.httrack.com/html/index.html)
14:30:01	5429/5429	U--M-Z	200	updated ('OK')	text/html	etag:%221535-42700ec319bc0-gzip%22	https://www.httrack.com/html/shelldoc.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/shelldoc.html	(from https://www.httrack.com/html/index.html)
14:30:01	5992/5992	U--M-Z	200	updated ('OK')	text/html	etag:%221768-42700ebf492c0-gzip%22	https://www.httrack.com/html/dev.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/dev.html	(from https://www.httrack.com/html/index.html)
14:30:02	39512/39512	U--M-Z	200	updated ('OK')	text/plain	etag:%229a58-54ff0ab1b6d40-gzip%22	https://www.httrack.com/history.txt	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/history.txt	(from https://www.httrack.com/html/index.html)
14:30:05	9216/9216	U--M-Z	200	updated ('OK')	text/html	etag:%222400-42700ebf492c0-gzip%22	https://www.httrack.com/html/contact.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/contact.html	(from https://www.httrack.com/html/index.html)
14:30:05	21071/21071	U--M-Z	200	updated ('OK')	text/html	etag:%22524f-42700ebe55080-gzip%22	https://www.httrack.com/html/abuse.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/abuse.html	(from https://www.httrack.com/html/index.html)
14:30:05	1683/1683	U--M-Z	200	updated ('OK')	text/plain	etag:%22693-4beff120380c0-gzip%22	https://www.httrack.com/license.txt	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/license.txt	(from https://www.httrack.com/html/index.html)
14:30:05	12655/12655	U--M-Z	200	updated ('OK')	text/html	etag:%222718ce0d42e4bd1b461225017f987be3%22	https://www.httrack.com/page/7/fr/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/7/fr/index.html	(from https://www.httrack.com/page/7/en/index.html)
14:30:05	13066/13066	U--M-Z	200	updated ('OK')	text/html	etag:%22812d2a44aa47dcfe1ce711697ae5994a%22	https://www.httrack.com/page/9/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/9/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
14:30:06	46561/46561	U--M-Z	200	updated ('OK')	text/html	etag:%2211b25a6a4b1b434d4453d37b806ec827%22	https://www.httrack.com/page/5/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/5/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
14:30:06	54613/54613	U--M-Z	200	updated ('OK')	text/html	etag:%225569a2376f166a4f8ffb92b28abd0fdd%22	https://www.httrack.com/page/4/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/4/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
14:30:06	13945/13945	U--M-Z	200	updated ('OK')	text/html	etag:%2289820f26c4b585c003dfebcefc636f2b%22	https://www.httrack.com/page/8/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/8/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
14:30:09	12943/12943	U--M-Z	200	updated ('OK')	text/html	etag:%229b5067b344964aeb48e9edd934273159%22	https://www.httrack.com/page/6/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/6/en/index.html	(from https://www.httrack.com/page/7/en/index.html)
14:30:09	1563/1563	U-----	200	untouched ('')	image/gif	etag:%2261b-3a5a4b0872b40%22	https://www.httrack.com/icn/httbutton.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/icn/httbutton.gif	(from https://www.httrack.com/page/7/en/index.html)
14:30:09	10974/10974	U--M-Z	200	updated ('OK')	text/html	etag:%221e3ca2583eb30c3ec39ac827b25eecfc%22	https://www.httrack.com/page/7/en/fade.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/7/en/fade.html	(from https://www.httrack.com/page/7/en/index.html)
14:30:09	7337/7337	U--M-Z	200	updated ('OK')	text/html	etag:%221ca9-41770507d2f40-gzip%22	https://www.httrack.com/derivative.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/derivative.html	(from https://www.httrack.com/page/7/en/index.html)
14:30:13	9298/9298	U--M-Z	200	updated ('OK')	text/html	etag:%22aad74cf3ae635162a44a98c08ba97da9%22	https://www.httrack.com/page/20/fr/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/20/fr/index.html	(from https://www.httrack.com/page/1/fr/index.html)
14:30:13	9925/9925	U-----	200	untouched ('')	image/gif	etag:%2226c5-3a55b0d302d00%22	https://www.httrack.com/hts2/snap1.gif	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/hts2/snap1.gif	(from https://www.httrack.com/page/20/en/index.html)
14:30:13	19497/19497	U--M-Z	200	updated ('OK')	text/html	etag:%224c29-42700ec131740-gzip%22	https://www.httrack.com/html/filters.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/html/filters.html	(from https://www.httrack.com/html/faq.html)
14:30:13	9243/9243	U--M-Z	200	updated ('OK')	text/html	etag:%22d9f1a353a7897fde64511d52bfc377f7%22	https://www.httrack.com/page/21/en/index.html	C:/My%20Web%20Sites/CV%20ANTONIO/www.httrack.com/page/21/en/index.html	(from https://www.httrack.com/page/20/en/index.html)
